boundary_id,name,state,month,family,total,status_single_source,status_corroborated,status_contradicted,status_unassessed,severity_low,severity_medium,severity_high,severity_unknown
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-10,ELM,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-10,EXT,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-10,MAC,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-10,OIL,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-10,POL,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-10,SAN,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-10,SEC,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-11,CON,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-11,ELM,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-11,EXT,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-11,MAC,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-11,OIL,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-11,POL,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-11,SAN,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-11,SEC,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-12,CON,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-12,ELM,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-12,EXT,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-12,MAC,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-12,OIL,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-12,POL,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-12,SAN,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-12,SEC,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2025-01,CON,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2025-01,ELM,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2025-01,EXT,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2025-01,MAC,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2025-01,OIL,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2025-01,POL,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2025-01,SAN,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2025-01,SEC,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2025-02,CON,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2025-02,ELM,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2025-02,EXT,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2025-02,MAC,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2025-02,OIL,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2025-02,POL,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2025-02,SAN,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2025-02,SEC,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2025-03,CON,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2025-03,ELM,0,0,0,0,0,0,0,0,0
